name,nationalities,date_of_listing,source
Olga Viktorovna SHEIMAN,Belarus,2023-08-04,Cannada
Oleg Grigorievich MISHCHENKO,Belarus,2024-08-08,Cannada
Pavel Nikolaevich MURAVEIKO,Belarus,2024-08-08,Cannada
Andrei Valentinovich FEDIN,Belarus,2024-08-08,Cannada
Vladislav Nikolayevich PAVLENKO,Belarus,2025-01-24,Cannada
Vladimir Vladimirovich CHUDAKOV,Belarus,2025-01-24,Cannada
Anatoly Nikolayevich SAVENOK,Belarus,2025-01-24,Cannada
Hailun Zhu,China,2021-03-21,Cannada
Junzheng Wang,China,2021-03-21,Cannada
Mingshan Wang,China,2021-03-21,Cannada
Mingguo Chen,China,2021-03-21,Cannada
Quanguo Chen,China,2024-12-09,Cannada
Erkin Tuniyaz,China,2024-12-09,Cannada
Shohrat Zakir,China,2024-12-09,Cannada
Jiarui Peng,China,2024-12-09,Cannada
Yingjie Wu,China,2024-12-09,Cannada
Hongbo Zhang,China,2024-12-09,Cannada
Liujun Huo,China,2024-12-09,Cannada
Quan You,China,2024-12-09,Cannada
David Chai Chasdai,Extremist Settler Violence,2024-05-16,Cannada
Yinon Levi,Extremist Settler Violence,2024-05-16,Cannada
Zvi Bar Yosef,Extremist Settler Violence,2024-05-16,Cannada
Moshe Sharvit,Extremist Settler Violence,2024-05-16,Cannada
Daniella Weiss,Extremist Settler Violence,2024-06-26,Cannada
Elisha Yered,Extremist Settler Violence,2024-06-26,Cannada
Einan Tanjil,Extremist Settler Violence,2024-06-26,Cannada
Shalom Zicherman,Extremist Settler Violence,2024-06-26,Cannada
Ely Federman,Extremist Settler Violence,2024-06-26,Cannada
Ben Zion Gopstein,Extremist Settler Violence,2024-06-26,Cannada
Meir Mordechai Ettinger,Extremist Settler Violence,2024-06-26,Cannada
Neria Ben Pazi,Extremist Settler Violence,2024-09-17,Cannada
Noam Federman,Extremist Settler Violence,2024-09-17,Cannada
Eden Levi,Extremist Settler Violence,2024-09-17,Cannada
Shlomo Sarid,Extremist Settler Violence,2024-09-17,Cannada
María Consuelo PORRAS Argueta de Porres,Guatemala,2024-02-16,Cannada
Cinthia Edelmira MONTERROSO Gómez,Guatemala,2024-02-16,Cannada
José Rafael CURRUCHICHE Cucul,Guatemala,2024-02-16,Cannada
Jimi Rodolfo BREMER Ramírez,Guatemala,2024-02-16,Cannada
Youri Latortue,Haiti,2022-11-03,Cannada
Joseph Lambert,Haiti,2022-11-03,Cannada
Rony Célestin,Haiti,2022-11-17,Cannada
Michel Joseph Martelly,Haiti,2022-11-17,Cannada
Laurent Salvador Lamothe,Haiti,2022-11-17,Cannada
Hervé Fourcand,Haiti,2022-11-17,Cannada
Gary Bodeau,Haiti,2022-11-17,Cannada
Jean-Henry Céant,Haiti,2022-11-17,Cannada
Gilbert Bigio,Haiti,2022-12-02,Cannada
Reynold Deeb,Haiti,2022-12-02,Cannada
